KD,,,,,,,,,,
Model,Mean Ranking ,Rank,,Model,Mean Ranking ,Rank,,Model,Mean Ranking ,Rank
Site,1.83,1,,Climate,2.55,1,,National,2.57,1
Yang5,4.25,3,,Yang5,4.14,3,,Yang5,4.25,3
Dirindex,4.6,4,,Dirindex,4.39,4,,Dirindex,4.33,4
Yang4,7.87,6,,Yang4,7.77,6,,Yang4,7.87,6
Nested,10.19,12,,Nested,10.19,12,,Nested,10.19,12
Dirint,3.94,2,,Dirint,3.81,2,,Dirint,3.82,2
Disc,4.76,5,,Disc,4.75,5,,Disc,4.64,5
Engerer2,9.43,8,,Engerer2,9.43,8,,Engerer2,9.43,8
Engerer3,11.01,13,,Engerer3,10.99,13,,Engerer3,10.96,13
Engerer4,9.54,9,,Engerer4,9.54,9,,Engerer4,9.51,9
Erbs,9.82,10,,Erbs,9.8,10,,Erbs,9.78,10
ED,10.11,11,,ED,10.08,11,,ED,10.08,11
OH,11.33,14,,OH,11.31,14,,OH,11.31,14
Louche,8.77,7,,Louche,8.73,7,,Louche,8.71,7
Boland,12.55,15,,Boland,12.52,15,,Boland,12.52,15
,,,,,,,,,,
,,,,,,,,,,
DHI,,,,,,,,,,
Model,Mean Ranking ,Rank,,Model,Mean Ranking ,Rank,,Model,Mean Ranking ,Rank
Site,2.76,1,,Climate,3.69,1,,National,3.86,1
Yang5,4.67,2,,Yang5,5.19,4,,Yang5,4.53,2
Dirindex,5.48,4,,Dirindex,3.74,2,,Dirindex,5.19,4
Yang4,4.69,3,,Yang4,6.17,5,,Yang4,4.62,3
Nested,6.22,6,,Nested,8.33,8,,Nested,6.21,6
Dirint,6.17,5,,Dirint,5.07,3,,Dirint,5.93,5
Disc,8.62,8,,Disc,7.05,6,,Disc,8.57,8
Engerer2,8.5,7,,Engerer2,7.57,7,,Engerer2,8.52,7
Engerer3,12.36,15,,Engerer3,12.33,15,,Engerer3,12.31,15
Engerer4,9.55,11,,Engerer4,8.64,9,,Engerer4,9.52,11
Erbs,9.52,10,,Erbs,9.5,10,,Erbs,9.5,10
ED,9.83,12,,ED,10.02,11,,ED,9.81,12
OH,10.64,13,,OH,10.57,13,,OH,10.6,13
Louche,9.12,9,,Louche,10.24,12,,Louche,9,9
Boland,11.88,14,,Boland,11.88,14,,Boland,11.83,14
,,,,,,,,,,
,,,,,,,,,,
DNI,,,,,,,,,,
Model,Mean Ranking ,Rank,,Model,Mean Ranking ,Rank,,Model,Mean Ranking ,Rank
Site,1.79,1,,Climate,3.69,1,,National,4.07,2
Yang5,4.29,4,,Yang5,5.19,4,,Yang5,5.19,4
Dirindex,3,2,,Dirindex,3.74,2,,Dirindex,3.67,1
Yang4,5.21,5,,Yang4,6.17,5,,Yang4,6.14,5
Nested,8.5,9,,Nested,8.33,8,,Nested,8.29,8
Dirint,4.14,3,,Dirint,5.07,3,,Dirint,5,3
Disc,6.71,6,,Disc,7.05,6,,Disc,7.05,6
Engerer2,7.07,7,,Engerer2,7.57,7,,Engerer2,7.5,7
Engerer3,12.57,14,,Engerer3,12.33,15,,Engerer3,12.33,15
Engerer4,8.29,8,,Engerer4,8.64,9,,Engerer4,8.64,9
Erbs,9.64,10,,Erbs,9.5,10,,Erbs,9.47,10
ED,10.93,12,,ED,10.02,11,,ED,10,11
OH,11.21,13,,OH,10.57,13,,OH,10.57,13
Louche,10.86,11,,Louche,10.24,12,,Louche,10.21,12
Boland,13.14,15,,Boland,11.88,14,,Boland,11.86,14
