KD OVERCAST,,,,,,,DHI OVERCAST,,,,,,,DNI OVERCAST,,,,,
,MBE,MAE,RMSE,Mean,Rank,,,MBE,MAE,RMSE,Mean,Rank,,,MBE,MAE,RMSE,Mean,Rank
Mabasa,2.79,6.43,1.86,3.69,1,,JKT,7.71,2.07,2.21,4.00,1,,Site,3.29,6.64,2.14,4.02,1
Yang5,4.64,6.93,4.43,5.33,2,,Mabasa,3.79,6.00,2.93,4.24,2,,dirindex,5.93,5.57,5.36,5.62,2
JKT,8.29,3.29,5.86,5.81,3,,dirindex,5.71,5.86,4.86,5.48,3,,dirint,7.64,5.29,5.36,6.10,3
Yang4,10.64,2.93,4.43,6.00,4,,dirint,7.14,6.00,5.00,6.05,4,,disc,4.57,8.71,5.57,6.29,4
dirindex,7.36,5.71,5.86,6.31,5,,Yang4,10.50,2.86,5.14,6.17,5,,Yang4,10.71,3.71,4.86,6.43,5
disc,4.50,9.64,6.36,6.83,6,,erbs,4.93,8.93,8.14,7.33,6,,Yang5,5.29,8.21,5.79,6.43,6
dirint,9.50,6.64,6.14,7.43,7,,erbsD,5.64,8.36,8.29,7.43,7,,JKT,9.00,4.00,6.64,6.55,7
erbs,6.21,8.86,9.86,8.31,8,,disc,4.50,10.36,7.79,7.55,8,,erbs,6.50,8.86,10.36,8.57,8
ohm,5.14,11.00,9.00,8.38,9,,Yang5,7.71,6.64,9.21,7.86,9,,boland,6.79,11.14,8.14,8.69,9
boland,6.29,11.36,8.00,8.55,10,,ohm,6.29,10.64,8.36,8.43,10,,ohm,6.14,10.43,9.86,8.81,10
erbsD,6.93,8.21,10.57,8.57,11,,Engerer4,11.36,5.86,11.00,9.40,11,,erbsD,7.29,8.21,11.07,8.86,11
Engerer2,12.21,5.36,10.00,9.19,12,,boland,8.14,12.21,9.29,9.88,12,,Engerer2,11.86,5.79,10.14,9.26,12
Engerer4,12.43,5.50,10.29,9.40,13,,Engerer2,12.36,5.71,12.21,10.10,13,,Engerer4,11.93,5.93,10.36,9.40,13
louche,8.07,13.14,12.36,11.19,14,,louche,9.21,13.50,10.57,11.10,14,,louche,8.07,12.50,9.36,9.98,14
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
KD CLEARSKY,,,,,,,DHI CLEARSKY,,,,,,,DNI CLEARSKY,,,,,
,MBE,MAE,RMSE,Mean,Rank,,,MBE,MAE,RMSE,Mean,Rank,,,MBE,MAE,RMSE,Mean,Rank
Mabasa,4.36,2.14,2.00,2.83,1,,Engerer3,1.93,2.07,3.00,2.33,1,,Mabasa,3.50,1.50,1.21,2.07,1
Engerer3,2.29,3.50,4.36,3.38,2,,louche,2.64,2.64,2.00,2.43,2,,Yang5,3.86,4.86,4.57,4.43,2
disc,4.21,4.50,3.14,3.95,3,,Mabasa,4.57,4.00,4.50,4.36,3,,dirindex,4.57,4.50,4.86,4.64,3
Yang4,4.21,5.07,3.93,4.40,4,,Yang5,4.21,4.29,4.79,4.43,4,,disc,4.14,5.79,5.36,5.10,4
dirint,5.86,5.07,4.50,5.14,5,,Yang4,6.14,6.14,4.50,5.60,5,,dirint,5.64,5.64,4.21,5.17,5
dirindex,4.64,6.14,6.14,5.64,6,,dirindex,6.50,6.14,6.93,6.52,6,,louche,4.14,6.79,7.71,6.21,6
Yang5,5.71,5.07,6.43,5.74,7,,dirint,5.57,5.93,8.29,6.60,7,,Engerer3,5.86,5.64,7.50,6.33,7
louche,5.79,5.79,7.00,6.19,8,,JKT,7.86,7.14,6.79,7.26,8,,Yang4,9.07,7.50,8.29,8.29,8
Engerer2,10.64,10.21,10.50,10.45,9,,disc,7.64,8.93,11.71,9.43,9,,Engerer2,11.21,8.79,7.71,9.24,9
Engerer4,11.00,10.79,10.00,10.60,10,,erbs,10.36,10.50,9.36,10.07,10,,JKT,9.79,9.64,11.21,10.21,10
JKT,10.14,10.14,12.21,10.83,11,,Engerer2,10.86,10.36,9.64,10.29,11,,Engerer4,11.00,10.50,9.43,10.31,11
erbs,11.14,11.21,10.64,11.00,12,,erbsD,11.36,11.57,10.43,11.12,12,,erbs,10.07,11.00,10.21,10.43,12
erbsD,12.21,12.21,11.71,12.05,13,,Engerer4,13.14,12.86,12.64,12.88,13,,erbsD,11.07,11.86,11.29,11.40,13
ohm,13.86,13.93,13.36,13.71,14,,boland,13.14,13.50,12.29,12.98,14,,ohm,13.29,13.07,12.57,12.98,14
boland,13.93,14.21,14.07,14.07,15,,ohm,14.07,13.93,13.14,13.71,15,,boland,12.79,12.93,13.86,13.19,15
